Unix Time [GMT], T [C @ 5m], T [C @ 35m], T [C @ 60m]
1479218400000,19.036,14.703,12.442
1479222000000,19.033,14.741,12.337
1479225600000,18.998,15.217,12.298
1479229200000,19.060,15.466,11.999
1479232800000,19.124,14.832,12.438
1479236400000,19.181,14.670,12.806
1479240000000,19.265,13.455,12.709
1479243600000,19.361,14.251,12.464
1479247200000,19.385,13.958,12.416
1479250800000,19.224,14.475,12.389
1479254400000,19.190,14.580,12.469
1479258000000,19.186,14.353,12.381
1479261600000,19.097,14.815,12.256
1479265200000,19.047,14.363,12.182
1479268800000,19.022,14.178,12.133
1479272400000,18.986,14.425,11.968
1479276000000,18.972,14.534,11.985
1479279600000,18.953,14.147,12.471
1479283200000,18.904,14.159,12.464
1479286800000,18.954,14.081,12.621
1479290400000,18.951,13.450,12.714
1479294000000,18.956,13.551,12.100
1479297600000,18.935,14.240,12.247
1479301200000,18.926,14.280,12.225
1479304800000,18.912,14.266,12.265
1479308400000,18.897,15.065,12.371
1479312000000,18.912,14.987,12.392
1479315600000,18.987,14.360,12.022
1479319200000,19.029,13.880,12.240
1479322800000,19.062,13.521,12.709
1479326400000,19.150,13.857,12.708
1479330000000,19.176,14.052,12.886
1479333600000,19.226,13.991,12.567
1479337200000,19.130,14.041,12.594
1479340800000,19.053,14.312,12.775
1479344400000,19.094,14.500,12.651
1479348000000,18.946,14.242,12.341
1479351600000,18.931,14.466,12.546
1479355200000,18.900,14.258,12.451
1479358800000,18.852,14.280,11.915
1479362400000,18.840,14.072,11.768
1479366000000,18.815,14.265,12.632
1479369600000,18.829,14.253,12.662
1479373200000,18.822,14.206,12.850
1479376800000,18.827,13.791,12.394
1479380400000,18.830,13.851,12.361
1479384000000,18.804,13.810,12.230
1479387600000,18.730,13.930,12.778
1479391200000,18.723,13.912,12.471
1479394800000,18.626,13.445,11.967
1479398400000,18.499,13.895,12.221
1479402000000,18.535,14.548,12.223
1479405600000,18.588,14.159,12.354
1479409200000,18.752,14.078,13.027
1479412800000,18.776,14.144,13.195
1479416400000,18.951,14.733,12.544
1479420000000,18.912,15.083,13.126
1479423600000,19.145,15.054,13.048
1479427200000,18.883,14.370,12.928
1479430800000,18.986,13.995,12.723
1479434400000,18.971,13.245,12.464
1479438000000,18.726,13.299,11.957
1479441600000,18.689,14.151,12.400
1479445200000,18.671,13.980,12.073
1479448800000,18.651,13.841,11.844
1479452400000,18.632,13.875,12.128
1479456000000,18.611,13.941,13.239
1479459600000,18.592,13.862,13.128
1479463200000,18.590,14.425,13.293
1479466800000,18.572,14.161,13.044
1479470400000,18.558,13.500,12.373
1479474000000,18.540,14.406,11.718
1479477600000,18.532,13.957,11.949
1479481200000,18.516,13.956,11.849
1479484800000,18.505,14.079,11.614
1479488400000,18.516,13.934,11.402
1479492000000,18.513,13.764,11.954
1479495600000,18.538,13.820,12.570
1479499200000,18.561,13.895,12.610
1479502800000,18.725,14.052,12.751
1479506400000,18.763,14.378,12.870
1479510000000,18.825,14.426,12.981
1479513600000,18.799,14.784,12.717
1479517200000,18.777,13.972,12.793
1479520800000,18.724,13.640,12.215
1479524400000,18.653,14.610,12.655
1479528000000,18.632,14.518,12.697
1479531600000,18.631,13.645,12.008
1479535200000,18.610,13.780,11.771
1479538800000,18.587,13.694,11.861
1479542400000,18.583,13.555,11.956
1479546000000,18.568,14.222,12.560
1479549600000,18.565,15.229,13.017
1479553200000,18.586,14.878,13.345
1479556800000,18.583,14.127,12.653
1479560400000,18.554,14.192,12.903
1479564000000,18.531,14.143,12.278
1479567600000,18.521,14.410,12.119
1479571200000,18.488,14.396,11.912
1479574800000,18.502,14.428,11.959
1479578400000,18.508,13.717,11.707
1479582000000,18.529,14.052,12.100
1479585600000,18.557,14.032,12.275
1479589200000,18.618,14.267,12.410
1479592800000,18.653,14.572,12.622
1479596400000,18.686,14.359,12.638
1479600000000,18.730,14.099,12.789
1479603600000,18.775,14.665,13.076
1479607200000,18.782,14.043,13.181
1479610800000,18.745,14.508,13.264
1479614400000,18.638,14.390,13.045
1479618000000,18.455,13.912,12.153
1479621600000,18.335,14.013,12.301
1479625200000,18.301,14.043,12.348
1479628800000,18.284,14.077,12.506
1479632400000,18.276,13.774,12.439
1479636000000,18.265,14.040,12.157
1479639600000,18.260,14.335,12.208
1479643200000,18.262,14.213,12.985
1479646800000,18.253,14.009,12.705
1479650400000,18.244,14.096,12.309
1479654000000,18.235,14.350,12.623
1479657600000,18.243,15.052,12.530
1479661200000,18.284,14.327,12.108
1479664800000,18.395,14.219,12.356
1479668400000,18.470,14.277,12.226
1479672000000,18.523,14.382,12.367
1479675600000,18.526,14.131,12.457
1479679200000,18.621,13.845,12.512
1479682800000,18.675,14.619,12.688
1479686400000,18.692,14.012,13.226
1479690000000,18.741,14.335,13.024
1479693600000,18.763,15.126,13.153
1479697200000,18.768,14.319,13.124
1479700800000,18.740,14.713,12.875
1479704400000,18.722,14.844,12.711
1479708000000,18.634,14.576,12.734
1479711600000,18.595,14.805,12.676
1479715200000,18.559,14.664,12.772
1479718800000,18.506,14.649,12.753
1479722400000,18.497,14.954,12.656
1479726000000,18.525,15.042,12.991
1479729600000,18.570,15.017,12.942
1479733200000,18.600,15.868,13.189
1479736800000,18.619,15.411,12.816
1479740400000,18.599,14.823,12.286
1479744000000,18.590,15.587,12.087
1479747600000,18.590,14.968,11.934
1479751200000,18.592,13.998,12.075
1479754800000,18.608,14.159,12.414
1479758400000,18.617,14.412,12.352
1479762000000,18.616,14.647,12.624
1479765600000,18.595,14.461,12.533
1479769200000,18.526,14.595,12.611
1479772800000,18.450,14.635,12.558
1479776400000,18.400,14.733,12.541
1479780000000,18.346,14.878,12.748
1479783600000,18.306,15.030,12.706
1479787200000,18.255,14.622,12.572
1479790800000,18.194,14.411,12.532
1479794400000,18.050,14.528,12.626
1479798000000,18.019,14.728,12.859
1479801600000,17.956,14.745,12.676
1479805200000,18.010,14.789,12.332
1479808800000,17.991,14.170,12.424
1479812400000,18.038,14.513,12.204
1479816000000,18.164,16.003,12.587
1479819600000,18.270,16.190,12.664
1479823200000,18.394,16.248,12.768
1479826800000,18.433,16.177,12.645
1479830400000,18.464,15.905,12.555
1479834000000,18.472,14.937,12.101
1479837600000,18.469,14.591,12.023
1479841200000,18.474,14.662,11.970
1479844800000,18.465,14.861,12.436
1479848400000,18.427,14.901,12.317
1479852000000,18.291,14.968,12.232
1479855600000,18.361,15.159,12.355
1479859200000,18.594,14.950,12.748
1479862800000,18.508,14.707,12.574
1479866400000,18.362,14.564,13.037
1479870000000,18.228,14.706,13.052
1479873600000,18.159,14.941,13.225
1479877200000,18.074,15.150,12.830
1479880800000,18.012,15.256,12.667
1479884400000,17.928,14.718,12.313
1479888000000,17.892,14.621,12.169
1479891600000,17.907,14.284,12.339
1479895200000,17.940,14.173,12.235
1479898800000,17.965,14.062,12.277
1479902400000,17.956,14.346,12.273
1479906000000,18.021,15.554,12.521
1479909600000,18.049,15.741,12.555
1479913200000,18.121,15.804,12.568
1479916800000,18.171,15.389,12.504
1479920400000,18.224,14.759,12.165
1479924000000,18.247,14.466,12.568
1479927600000,18.231,14.605,12.263
1479931200000,18.269,14.441,12.137
1479934800000,18.252,14.448,12.227
1479938400000,18.178,14.416,12.347
1479942000000,18.110,14.483,12.360
1479945600000,17.858,14.483,12.225
1479949200000,18.149,14.701,12.282
1479952800000,18.117,14.740,12.617
1479956400000,17.995,14.481,12.759
1479960000000,17.914,14.231,12.889
1479963600000,17.794,14.109,12.951
1479967200000,17.713,14.354,12.687
1479970800000,17.667,14.278,12.046
1479974400000,17.594,14.284,11.831
1479978000000,17.575,14.501,11.586
1479981600000,17.549,14.241,11.760
1479985200000,17.492,13.991,11.714
1479988800000,17.505,14.432,11.720
1479992400000,17.433,14.748,11.784
1479996000000,17.617,14.438,11.835
1479999600000,17.814,15.144,12.013
1480003200000,17.840,14.529,12.294
1480006800000,17.921,14.286,12.375
1480010400000,17.986,13.927,12.398
1480014000000,18.025,13.732,12.427
1480017600000,17.998,13.793,12.542
1480021200000,18.043,13.638,12.319
1480024800000,18.070,13.833,12.148
1480028400000,17.855,14.054,12.085
1480032000000,18.027,13.663,11.934
1480035600000,17.747,14.319,11.923
1480039200000,17.669,14.143,12.029
1480042800000,17.723,14.234,12.115
1480046400000,17.746,14.063,12.136
1480050000000,17.718,14.252,12.399
1480053600000,17.685,14.416,12.448
1480057200000,17.572,13.970,12.451
1480060800000,17.519,13.707,11.970
1480064400000,17.406,13.621,12.250
1480068000000,17.335,13.569,12.380
1480071600000,17.320,13.482,11.983
1480075200000,17.304,13.117,11.925
