Time,temperature1,temperature2,temperature3
1500966151000,22.602,12.614,12.002
1500969751000,22.516,12.742,12.089
1500973351000,22.485,12.743,11.992
1500976951000,22.352,12.912,12.084
1500980551000,22.281,13.588,11.915
1500984151000,22.284,13.148,12.075
1500987751000,22.236,12.948,12.035
1500991351000,22.167,12.6,11.534
1500994951000,22.043,12.368,11.178
1500998551000,21.925,13.175,11.692
1501002151000,22.007,13.028,11.468
1501005751000,22.01,13.102,12.057
1501009351000,21.865,13.02,11.736
1501012951000,22.09,13.005,11.815
1501016551000,21.972,12.947,11.802
1501020151000,22.105,12.695,11.784
1501023751000,21.991,12.904,11.691
1501027351000,22.073,12.534,11.71
1501030951000,21.673,12.449,11.35
1501034551000,21.84,12.695,11.33
1501038151000,21.878,12.68,11.538
1501041751000,21.678,12.852,11.482
1501045351000,21.616,12.773,11.345
1501048951000,21.508,12.853,11.61
1501052551000,21.444,13.058,11.772
1501056151000,21.298,13.043,11.786
1501059751000,21.195,12.815,11.823
1501063351000,20.825,12.618,11.916
1501066951000,20.8,12.736,11.857
1501070551000,20.747,12.576,11.763
1501074151000,20.718,12.498,11.965
1501077751000,20.698,12.481,11.668
1501081351000,20.708,12.445,11.393
1501084951000,20.841,12.391,11.547
1501088551000,20.822,12.547,11.285
1501092151000,21.102,12.694,11.834
1501095751000,21.052,12.536,11.434
1501099351000,20.976,12.498,11.84
1501102951000,20.887,12.318,11.672
1501106551000,20.757,12.348,11.269
1501110151000,20.384,12.298,11.276
1501113751000,20.348,12.315,11.596
1501117351000,20.203,12.973,11.7
1501120951000,19.849,12.358,11.508
1501124551000,19.52,12.308,11.379
1501128151000,19.396,12.254,11.418
1501131751000,19.344,12.236,11.418
1501135351000,19.324,12.25,11.551
1501138951000,19.185,12.199,11.507
1501142551000,19.048,12.198,11.527
1501146151000,18.935,12.138,11.852
1501149751000,18.939,12.205,11.86
1501153351000,18.833,12.173,11.17
1501156951000,18.677,12.129,11.059
1501160551000,18.961,13.235,11.166
1501164151000,18.489,12.479,11.517
1501167751000,18.455,12.024,11.46
1501171351000,18.382,12.002,11.617
1501174951000,18.554,11.999,11.416
1501178551000,18.646,12.026,11.447
1501182151000,18.692,12.004,11.456
1501185751000,18.97,12.441,11.966
1501189351000,19.075,12.395,11.556
1501192951000,19.281,12.326,11.491
1501196551000,19.448,12.311,11.605
1501200151000,19.529,12.371,11.25
1501203751000,19.475,12.682,11.438
1501207351000,19.242,12.403,11.254
1501210951000,19.112,12.076,11.508
1501214551000,18.961,12.086,11.288
1501218151000,18.802,12.011,11.334
1501221751000,18.616,11.926,11.306
1501225351000,18.521,12.019,11.494
1501228951000,18.296,12.475,11.629
1501232551000,18.104,12.098,11.614
1501236151000,18.038,12.062,11.208
1501239751000,17.921,12.08,11.446
1501243351000,18.006,11.982,11.32
1501246951000,18.165,12.438,10.97
1501250551000,18.043,11.916,11.226
1501254151000,17.988,11.886,11.321
1501257751000,18.048,11.864,11.361
1501261351000,18.113,11.84,11.265
1501264951000,18.336,11.834,11.288
1501268551000,18.413,11.879,11.607
1501272151000,18.602,11.871,11.614
1501275751000,18.812,11.794,11.71
1501279351000,18.989,11.953,11.34
1501282951000,19.099,12.434,11.264
1501286551000,19.528,12.762,11.258
1501290151000,19.962,12.716,11.075
1501293751000,20.043,12.396,11.077
1501297351000,19.897,12.218,11.348
1501300951000,20.092,12.083,11.26
1501304551000,20.106,11.894,11.231
1501308151000,20.02,11.899,11.252
1501311751000,19.823,12.139,11.293
1501315351000,19.802,12.163,11.389
1501318951000,19.651,12.545,11.358
1501322551000,19.418,12.607,11.508
1501326151000,19.055,12.276,11.486
1501329751000,18.702,12.577,11.339
1501333351000,18.617,12.696,11.063
1501336951000,18.685,13.089,11.237
1501340551000,18.865,12.358,11.112
1501344151000,18.957,12.221,11.069
1501347751000,19.254,12.056,11.094
1501351351000,19.388,11.765,11.33
1501354951000,19.511,11.832,11.266
1501358551000,19.744,12.122,11.375
1501362151000,19.984,12.304,11.318
1501365751000,20.337,12.309,11.341
1501372951000,20.683,12.213,11.411
1501376551000,21.196,12.726,11.234
1501380151000,22.109,12.212,11.364
1501383751000,22.029,12.383,11.372
1501387351000,20.747,12.24,11.332
1501390951000,20.574,11.858,11.116
1501394551000,20.748,12.027,11.267
1501398151000,21.165,11.864,11.246
1501401751000,20.945,11.65,11.287
1501405351000,19.678,12.714,11.514
1501408951000,20.694,12.83,11.001
1501412551000,19.912,12.166,11.575
1501416151000,20.836,12.961,11.079
1501419751000,20.425,11.961,10.917
1501423351000,20.722,11.918,10.93
1501426951000,20.927,13.402,11.086
1501430551000,21.208,12.661,11.103
1501434151000,21.245,11.593,11.026
1501437751000,21.71,11.532,11.251
1501441351000,22.018,12.059,11.175
1501444951000,22.114,11.92,11.113
1501448551000,22.186,11.843,11.049
1501452151000,22.067,12.345,11.059
1501455751000,22.19,12.356,11.078
